indice,Date,Time,QLF5,PLF5
164,9/14/2023,14 09 2023 02:43:00,0.00,15.50
165,9/14/2023,14 09 2023 02:44:00,0.00,15.50
166,9/14/2023,14 09 2023 02:45:00,0.00,15.50
167,9/14/2023,14 09 2023 02:46:00,0.00,14.10
168,9/14/2023,14 09 2023 02:47:00,0.00,13.90
169,9/14/2023,14 09 2023 02:48:00,0.00,13.90
170,9/14/2023,14 09 2023 02:49:00,0.00,13.90
171,9/14/2023,14 09 2023 02:50:00,0.00,13.80
172,9/14/2023,14 09 2023 02:51:00,0.00,13.80
173,9/14/2023,14 09 2023 02:52:00,0.00,13.80
174,9/14/2023,14 09 2023 02:53:00,0.00,13.80
175,9/14/2023,14 09 2023 02:54:00,0.00,13.80
176,9/14/2023,14 09 2023 02:55:00,0.00,13.80
177,9/14/2023,14 09 2023 02:56:00,0.00,13.80
178,9/14/2023,14 09 2023 02:57:00,0.00,13.80
179,9/14/2023,14 09 2023 02:58:00,0.00,13.80
180,9/14/2023,14 09 2023 02:59:00,0.00,13.80
181,9/14/2023,14 09 2023 03:00:00,0.00,13.80
182,9/14/2023,14 09 2023 03:01:00,0.00,13.80
183,9/14/2023,14 09 2023 03:02:00,1.00,13.80
184,9/14/2023,14 09 2023 03:03:00,1.00,13.80
185,9/14/2023,14 09 2023 03:04:00,1.00,14.60
186,9/14/2023,14 09 2023 03:05:00,1.00,15.40
187,9/14/2023,14 09 2023 03:06:00,1.00,14.10
188,9/14/2023,14 09 2023 03:07:00,0.00,13.70
189,9/14/2023,14 09 2023 03:08:00,0.00,15.40
190,9/14/2023,14 09 2023 03:09:00,0.00,15.60
191,9/14/2023,14 09 2023 03:10:00,0.00,15.40
192,9/14/2023,14 09 2023 03:11:00,0.00,15.40
193,9/14/2023,14 09 2023 03:12:00,0.00,15.40
194,9/14/2023,14 09 2023 03:13:00,0.00,13.30
195,9/14/2023,14 09 2023 03:14:00,0.00,13.50
196,9/14/2023,14 09 2023 03:15:00,0.00,13.30
197,9/14/2023,14 09 2023 03:16:00,0.00,13.50
198,9/14/2023,14 09 2023 03:17:00,0.00,13.30
199,9/14/2023,14 09 2023 03:18:00,0.00,14.80
