time;TIR-249;TIR-250;TT-905
2/12/2023 13:42;38,5;39,2;43,6
2/12/2023 13:43;38,6;39,5;44,0
2/12/2023 13:45;38,6;39,9;44,3
2/12/2023 13:46;38,6;40,1;44,5
2/12/2023 13:48;38,5;40,2;44,5
2/12/2023 13:49;38,7;40,2;44,6
2/12/2023 13:51;38,8;40,1;44,5
2/12/2023 13:52;38,9;40,1;44,4
2/12/2023 13:54;38,9;39,7;44,1
2/12/2023 13:55;39,0;39,3;43,8
2/12/2023 13:57;39,1;39,1;43,7
2/12/2023 13:58;39,0;39,2;43,6
2/12/2023 14:00;39,2;39,0;43,3
2/12/2023 14:01;39,2;38,5;42,9
2/12/2023 14:03;39,0;38,2;42,5
2/12/2023 14:04;39,2;38,0;42,3
2/12/2023 14:06;39,0;37,6;42,1
2/12/2023 14:07;38,8;37,3;42,0
2/12/2023 14:09;38,9;37,6;42,1
2/12/2023 14:10;38,8;37,9;42,4
2/12/2023 14:12;38,7;38,2;42,7
2/12/2023 14:13;38,6;38,5;43,0
2/12/2023 14:15;38,5;38,7;43,2
2/12/2023 14:16;38,5;38,8;43,1
2/12/2023 14:18;38,5;38,7;43,0
2/12/2023 14:19;38,4;38,2;42,4
2/12/2023 14:21;38,5;37,3;41,7
2/12/2023 14:22;38,6;36,9;41,3
2/12/2023 14:24;38,5;36,7;41,3
2/12/2023 14:25;38,4;36,9;41,5
2/12/2023 14:27;38,2;37,3;41,8
2/12/2023 14:28;38,2;37,5;42,0
2/12/2023 14:30;38,2;37,7;42,2
2/12/2023 14:31;38,1;37,8;42,4
2/12/2023 14:33;38,3;38,0;42,4
2/12/2023 14:34;38,0;37,9;42,3
2/12/2023 14:36;38,2;37,7;42,2
2/12/2023 14:37;38,2;37,9;42,3
2/12/2023 14:39;38,1;38,1;42,6
2/12/2023 14:40;38,3;38,4;42,9
2/12/2023 14:42;38,1;38,7;43,2
2/12/2023 14:43;38,2;38,9;43,1
2/12/2023 14:45;38,3;38,4;42,8
2/12/2023 14:46;38,4;38,3;42,8
2/12/2023 14:48;38,4;38,6;43,0
2/12/2023 14:49;38,4;38,7;43,2
2/12/2023 14:51;38,4;38,7;42,9
2/12/2023 14:52;38,4;38,0;42,3
2/12/2023 14:54;38,4;37,4;41,8
2/12/2023 14:55;38,4;37,1;41,6
2/12/2023 14:57;38,4;36,9;41,4
2/12/2023 14:58;38,2;36,9;41,3
2/12/2023 15:00;38,3;36,8;41,3
2/12/2023 15:01;38,1;36,8;41,2
2/12/2023 15:03;38,1;36,7;41,2
2/12/2023 15:04;38,1;36,6;41,1
2/12/2023 15:06;38,0;36,5;41,0
2/12/2023 15:07;38,1;36,4;40,8
2/12/2023 15:09;37,9;36,1;40,6
2/12/2023 15:10;37,9;36,1;40,7
2/12/2023 15:12;37,8;36,3;40,7
2/12/2023 15:13;37,7;36,2;40,5
2/12/2023 15:15;37,6;36,0;40,3
2/12/2023 15:16;37,5;35,7;40,1
2/12/2023 15:18;37,5;35,5;39,9
2/12/2023 15:19;37,5;35,3;39,6
2/12/2023 15:21;37,3;35,1;39,4
2/12/2023 15:22;37,2;34,8;39,2
2/12/2023 15:24;37,1;34,7;39,1
2/12/2023 15:25;36,9;34,6;39,0
2/12/2023 15:27;36,9;34,5;38,9
2/12/2023 15:28;36,7;34,3;38,8
2/12/2023 15:30;36,7;34,2;38,6
2/12/2023 15:31;36,6;34,2;38,5
2/12/2023 15:33;36,4;34,0;38,3
2/12/2023 15:34;36,4;33,9;38,2
2/12/2023 15:36;36,3;33,8;38,1
2/12/2023 15:37;36,1;33,5;37,9
2/12/2023 15:39;36,2;33,5;37,8
2/12/2023 15:40;36,0;33,3;37,6
2/12/2023 15:42;35,9;33,4;37,5
2/12/2023 15:43;35,9;33,1;37,4
2/12/2023 15:45;35,7;33,1;37,5
2/12/2023 15:46;35,4;33,1;37,3
2/12/2023 15:48;35,4;33,0;37,3
2/12/2023 15:49;35,3;32,8;37,1
