TIEMPO;FT748;FT903;FT901;TOTAL ENTRADA;REPOSICION;FT764;FT904;TOTAL RETORNO;TORRE_PILETA;TEMP_RETORNO
12 02 2023 07:03:00;4.540.000;3.020.000;3.780.000;11.340;296;6.970.000;4.600.000;11.570;34,9;39,9
12 02 2023 07:04:00;4.650.000;2.950.000;3.770.000;11.370;296;7.070.000;4.680.000;11.750;34,9;39,5
12 02 2023 07:05:00;4.600.000;2.940.000;3.930.000;11.470;253;6.950.000;4.530.000;11.480;34,9;39,2
12 02 2023 07:06:00;4.470.000;3.010.000;3.760.000;11.240;290;6.980.000;4.650.000;11.630;33,9;38,9
12 02 2023 07:07:00;4.500.000;2.950.000;3.820.000;11.270;233;7.110.000;4.620.000;11.730;33,6;38,7
12 02 2023 07:08:00;4.530.000;2.970.000;3.820.000;11.320;260;6.940.000;4.630.000;11.570;33,9;38,5
12 02 2023 07:09:00;4.540.000;2.820.000;3.870.000;11.230;253;7.060.000;4.690.000;11.750;34,1;38,4
12 02 2023 07:10:00;4.610.000;2.950.000;3.810.000;11.370;327;6.980.000;4.680.000;11.660;34,2;38,4
12 02 2023 07:11:00;4.560.000;2.920.000;3.780.000;11.260;301;7.030.000;4.640.000;11.670;33,9;38,3
12 02 2023 07:12:00;4.560.000;2.970.000;3.900.000;11.430;230;7.070.000;4.600.000;11.670;33,4;38,4
12 02 2023 07:13:00;4.550.000;2.870.000;3.840.000;11.260;204;7.000.000;4.710.000;11.710;34,1;38,6
12 02 2023 07:14:00;4.660.000;2.920.000;3.850.000;11.430;232;7.160.000;4.660.000;11.820;34,0;38,9
12 02 2023 07:15:00;4.620.000;2.970.000;3.840.000;11.430;231;7.030.000;4.570.000;11.600;34,2;39,2
12 02 2023 07:16:00;4.540.000;2.950.000;3.830.000;11.320;245;7.050.000;4.650.000;11.700;34,5;39,4
12 02 2023 07:17:00;4.570.000;2.980.000;3.900.000;11.450;324;7.070.000;4.560.000;11.630;34,6;39,6
12 02 2023 07:18:00;4.560.000;2.910.000;3.890.000;11.360;286;7.050.000;4.680.000;11.730;34,9;39,5
12 02 2023 07:19:00;4.570.000;3.000.000;3.870.000;11.440;263;7.110.000;4.700.000;11.810;34,4;39,4
12 02 2023 07:20:00;4.570.000;2.920.000;3.910.000;11.400;210;7.020.000;4.650.000;11.670;34,5;39,2
