TIEMPO;FT748;FT903;FT901;TOTAL ENTRADA;REPOSICION;FT764;FT904;TOTAL RETORNO;TORRE_PILETA;TEMP_RETORNO
12 02 2023 12:31:00;4.540.000;2.860.000;3.850.000;11.250;232;6.980.000;4.690.000;11.670;41,3;45,7
12 02 2023 12:32:00;4.590.000;2.960.000;3.770.000;11.320;277;6.950.000;4.600.000;11.550;41,1;45,6
12 02 2023 12:33:00;4.530.000;3.040.000;3.790.000;11.360;264;7.050.000;4.590.000;11.640;40,5;45,7
12 02 2023 12:34:00;4.550.000;2.930.000;3.870.000;11.350;333;7.000.000;4.590.000;11.590;41,3;45,7
12 02 2023 12:35:00;4.600.000;2.940.000;3.860.000;11.400;234;7.080.000;4.640.000;11.720;41,7;45,9
12 02 2023 12:36:00;4.540.000;2.980.000;3.920.000;11.440;271;7.070.000;4.720.000;11.790;41,3;46,0
12 02 2023 12:37:00;4.530.000;2.940.000;3.850.000;11.320;308;7.050.000;4.610.000;11.660;41,8;46,1
12 02 2023 12:38:00;4.610.000;2.960.000;3.870.000;11.440;272;7.020.000;4.670.000;11.690;41,8;46,2
12 02 2023 12:39:00;4.630.000;2.910.000;3.850.000;11.390;296;6.930.000;4.570.000;11.500;41,6;46,0
12 02 2023 12:40:00;4.630.000;2.980.000;3.780.000;11.390;275;7.020.000;4.670.000;11.690;41,3;45,7
12 02 2023 12:41:00;4.590.000;2.910.000;3.840.000;11.340;288;7.070.000;4.530.000;11.600;41,1;45,6
12 02 2023 12:42:00;4.550.000;2.970.000;3.830.000;11.350;342;7.040.000;4.610.000;11.650;40,5;45,4
12 02 2023 12:43:00;4.590.000;2.970.000;3.850.000;11.410;369;6.900.000;4.660.000;11.560;40,8;45,3
12 02 2023 12:44:00;4.520.000;2.910.000;3.950.000;11.380;387;7.020.000;4.560.000;11.580;41,3;45,2
12 02 2023 12:45:00;4.590.000;2.960.000;3.830.000;11.380;326;7.160.000;4.660.000;11.820;41,0;45,1
12 02 2023 12:46:00;4.530.000;2.880.000;3.870.000;11.280;267;7.020.000;4.720.000;11.740;40,8;45,0
12 02 2023 12:47:00;4.560.000;2.860.000;3.850.000;11.270;352;7.040.000;4.640.000;11.680;40,6;44,9
12 02 2023 12:48:00;4.540.000;3.030.000;3.830.000;11.400;297;7.090.000;4.680.000;11.770;40,1;44,9
12 02 2023 12:49:00;4.660.000;2.920.000;3.860.000;11.440;275;7.130.000;4.620.000;11.750;40,5;44,7
12 02 2023 12:50:00;4.590.000;2.950.000;3.870.000;11.410;262;6.980.000;4.560.000;11.540;39,8;44,3
12 02 2023 12:51:00;4.580.000;2.980.000;3.890.000;11.450;280;7.010.000;4.690.000;11.700;39,0;44,1
12 02 2023 12:52:00;4.600.000;2.940.000;3.880.000;11.420;276;7.050.000;4.510.000;11.560;39,5;43,8
12 02 2023 12:53:00;4.590.000;2.980.000;3.840.000;11.410;299;7.010.000;4.580.000;11.590;38,9;43,6
12 02 2023 12:54:00;4.570.000;2.850.000;3.870.000;11.290;278;6.980.000;4.620.000;11.600;39,0;43,5
12 02 2023 12:55:00;4.600.000;2.840.000;3.900.000;11.340;285;7.040.000;4.660.000;11.700;39,2;43,3
12 02 2023 12:56:00;4.530.000;2.930.000;3.780.000;11.240;295;7.080.000;4.600.000;11.680;38,9;43,2
12 02 2023 12:57:00;4.580.000;2.840.000;3.840.000;11.260;245;7.230.000;4.720.000;11.950;38,8;43,2
12 02 2023 12:58:00;4.570.000;2.950.000;3.750.000;11.270;246;7.130.000;4.610.000;11.740;38,4;43,3
12 02 2023 12:59:00;4.530.000;2.990.000;3.880.000;11.400;303;7.000.000;4.610.000;11.610;39,1;43,4
12 02 2023 13:00:00;4.550.000;2.990.000;3.920.000;11.460;256;7.000.000;4.610.000;11.610;39,7;43,5
12 02 2023 13:01:00;4.540.000;3.000.000;3.800.000;11.340;301;7.020.000;4.660.000;11.680;39,4;43,3
12 02 2023 13:02:00;4.570.000;2.980.000;3.840.000;11.390;277;7.010.000;4.590.000;11.600;38,8;43,2
12 02 2023 13:03:00;4.610.000;2.950.000;3.880.000;11.440;324;7.170.000;4.650.000;11.820;38,9;43,1
12 02 2023 13:04:00;4.610.000;2.950.000;3.870.000;11.430;312;7.050.000;4.680.000;11.730;38,8;42,9
12 02 2023 13:05:00;4.550.000;2.970.000;3.790.000;11.310;264;7.040.000;4.610.000;11.650;38,5;42,7
12 02 2023 13:06:00;4.620.000;2.860.000;3.890.000;11.370;308;7.080.000;4.610.000;11.690;38,3;42,5
12 02 2023 13:07:00;4.630.000;2.930.000;3.880.000;11.440;279;7.060.000;4.650.000;11.710;38,3;42,3
12 02 2023 13:08:00;4.500.000;2.920.000;3.850.000;11.270;256;7.070.000;4.660.000;11.730;37,2;42,1
12 02 2023 13:09:00;4.550.000;2.910.000;3.870.000;11.330;266;7.050.000;4.690.000;11.740;37,9;42,1
12 02 2023 13:10:00;4.530.000;2.860.000;3.890.000;11.280;238;7.040.000;4.730.000;11.770;37,9;42,1
12 02 2023 13:11:00;4.610.000;2.920.000;3.840.000;11.370;248;7.030.000;4.560.000;11.590;37,8;42,1
12 02 2023 13:12:00;4.580.000;2.910.000;3.790.000;11.280;301;7.080.000;4.630.000;11.710;37,8;42,2
12 02 2023 13:13:00;4.610.000;2.940.000;3.730.000;11.280;259;6.940.000;4.570.000;11.510;37,4;42,0
12 02 2023 13:14:00;4.560.000;2.840.000;3.880.000;11.280;249;7.150.000;4.580.000;11.730;37,5;41,8
12 02 2023 13:15:00;4.630.000;2.880.000;3.760.000;11.270;354;6.960.000;4.570.000;11.530;37,7;41,7
12 02 2023 13:16:00;4.610.000;2.900.000;3.830.000;11.340;357;7.050.000;4.620.000;11.670;36,8;41,7
12 02 2023 13:17:00;4.590.000;2.960.000;3.830.000;11.380;276;7.090.000;4.620.000;11.710;37,3;41,6
12 02 2023 13:18:00;4.590.000;2.920.000;3.790.000;11.300;231;7.100.000;4.520.000;11.620;37,1;41,6
12 02 2023 13:19:00;4.590.000;2.980.000;3.850.000;11.420;208;7.100.000;4.670.000;11.770;36,7;41,5
12 02 2023 13:20:00;4.580.000;2.880.000;3.840.000;11.300;231;7.050.000;4.520.000;11.570;36,7;41,4
12 02 2023 13:21:00;4.640.000;2.910.000;3.810.000;11.360;241;6.910.000;4.590.000;11.500;36,9;41,3
12 02 2023 13:22:00;4.600.000;3.010.000;3.850.000;11.460;241;7.060.000;4.690.000;11.750;37,0;41,4
12 02 2023 13:23:00;4.570.000;2.940.000;3.840.000;11.350;262;7.090.000;4.620.000;11.710;37,1;41,5
12 02 2023 13:24:00;4.470.000;2.920.000;3.880.000;11.270;261;7.040.000;4.630.000;11.670;37,3;41,7
12 02 2023 13:25:00;4.530.000;2.920.000;3.920.000;11.370;258;7.030.000;4.620.000;11.650;37,1;42,1
12 02 2023 13:26:00;4.550.000;2.860.000;3.880.000;11.290;263;6.990.000;4.720.000;11.710;38,2;42,5
12 02 2023 13:27:00;4.610.000;2.900.000;3.890.000;11.400;361;7.080.000;4.690.000;11.770;38,6;43,1
12 02 2023 13:28:00;4.640.000;2.850.000;3.760.000;11.250;310;7.180.000;4.620.000;11.800;39,2;43,5
12 02 2023 13:29:00;4.470.000;2.860.000;3.900.000;11.230;245;7.020.000;4.700.000;11.720;39,7;43,7
12 02 2023 13:30:00;4.640.000;2.900.000;3.890.000;11.430;288;7.010.000;4.570.000;11.580;39,3;43,8
12 02 2023 13:31:00;4.570.000;2.880.000;3.940.000;11.390;301;7.110.000;4.640.000;11.750;39,3;43,8
12 02 2023 13:32:00;4.660.000;2.880.000;3.810.000;11.350;244;7.060.000;4.660.000;11.720;39,7;43,8
12 02 2023 13:33:00;4.590.000;2.870.000;3.840.000;11.300;201;7.080.000;4.670.000;11.750;39,6;43,7
12 02 2023 13:34:00;4.520.000;2.940.000;3.910.000;11.370;224;6.950.000;4.660.000;11.610;38,9;43,5
12 02 2023 13:35:00;4.510.000;2.890.000;3.830.000;11.230;250;7.070.000;4.670.000;11.740;38,6;43,2
12 02 2023 13:36:00;4.570.000;2.910.000;3.810.000;11.290;248;7.170.000;4.550.000;11.720;38,5;42,9
12 02 2023 13:37:00;4.600.000;2.830.000;3.770.000;11.200;309;7.040.000;4.630.000;11.670;38,5;43,0
12 02 2023 13:38:00;4.560.000;2.820.000;3.850.000;11.230;316;7.010.000;4.610.000;11.620;38,6;43,1
12 02 2023 13:39:00;4.600.000;2.810.000;3.950.000;11.360;283;7.140.000;4.690.000;11.830;38,7;43,2
12 02 2023 13:40:00;4.630.000;2.960.000;3.840.000;11.430;269;7.140.000;4.750.000;11.890;38,3;43,2
12 02 2023 13:41:00;4.610.000;2.900.000;3.830.000;11.340;211;7.220.000;4.680.000;11.900;39,0;43,3
12 02 2023 13:42:00;4.590.000;2.940.000;3.860.000;11.390;223;7.030.000;4.640.000;11.670;38,8;43,4
12 02 2023 13:43:00;4.630.000;2.680.000;3.770.000;11.080;304;6.930.000;4.700.000;11.630;39,0;43,7
12 02 2023 13:44:00;4.580.000;2.950.000;3.880.000;11.410;320;7.080.000;4.590.000;11.670;39,4;43,9
12 02 2023 13:45:00;4.550.000;2.910.000;3.780.000;11.240;255;7.080.000;4.550.000;11.630;39,6;44,1
12 02 2023 13:46:00;4.530.000;2.890.000;3.780.000;11.200;314;7.100.000;4.670.000;11.770;40,0;44,4
12 02 2023 13:47:00;4.550.000;2.960.000;3.770.000;11.280;295;6.960.000;4.750.000;11.710;40,1;44,5
12 02 2023 13:48:00;4.660.000;2.950.000;3.770.000;11.380;306;7.010.000;4.560.000;11.570;40,1;44,5
12 02 2023 13:49:00;4.620.000;2.900.000;3.780.000;11.300;250;7.000.000;4.730.000;11.730;39,5;44,6
12 02 2023 13:50:00;4.550.000;2.910.000;3.830.000;11.290;253;7.060.000;4.650.000;11.710;40,6;44,6
12 02 2023 13:51:00;4.600.000;2.970.000;3.820.000;11.390;231;7.060.000;4.620.000;11.680;40,1;44,6
12 02 2023 13:52:00;4.590.000;2.900.000;3.830.000;11.320;324;7.090.000;4.630.000;11.720;40,0;44,6
12 02 2023 13:53:00;4.660.000;2.780.000;3.840.000;11.280;266;7.060.000;4.630.000;11.690;40,2;44,5
12 02 2023 13:54:00;4.660.000;2.860.000;3.820.000;11.340;256;7.120.000;4.630.000;11.750;40,1;44,3
12 02 2023 13:55:00;4.510.000;2.930.000;3.840.000;11.280;317;7.060.000;4.660.000;11.720;40,0;44,1
12 02 2023 13:56:00;4.580.000;2.910.000;3.790.000;11.280;316;7.110.000;4.670.000;11.780;39,8;43,9
12 02 2023 13:57:00;4.580.000;2.950.000;3.880.000;11.410;311;7.110.000;4.590.000;11.700;39,3;43,7
12 02 2023 13:58:00;4.660.000;2.890.000;3.800.000;11.350;309;7.150.000;4.660.000;11.810;39,1;43,6
12 02 2023 13:59:00;4.660.000;2.920.000;3.890.000;11.470;314;7.180.000;4.660.000;11.840;39,3;43,6
12 02 2023 14:00:00;4.590.000;2.940.000;3.830.000;11.360;258;6.980.000;4.670.000;11.650;39,1;43,5
12 02 2023 14:01:00;4.610.000;2.940.000;3.880.000;11.430;230;6.960.000;4.760.000;11.720;38,6;43,3
12 02 2023 14:02:00;4.580.000;3.030.000;3.900.000;11.510;307;6.970.000;4.680.000;11.650;39,0;43,0
12 02 2023 14:03:00;4.610.000;2.920.000;3.850.000;11.380;283;7.040.000;4.590.000;11.630;38,9;42,7
12 02 2023 14:04:00;4.590.000;2.990.000;3.810.000;11.390;306;6.970.000;4.640.000;11.610;37,8;42,5
12 02 2023 14:05:00;4.580.000;2.980.000;3.900.000;11.460;296;7.020.000;4.690.000;11.710;37,6;42,3
12 02 2023 14:06:00;4.580.000;2.910.000;3.770.000;11.260;274;6.950.000;4.650.000;11.600;37,4;42,2
12 02 2023 14:07:00;4.620.000;2.940.000;3.790.000;11.350;254;6.990.000;4.580.000;11.570;37,5;42,1
12 02 2023 14:08:00;4.590.000;2.970.000;3.900.000;11.460;243;6.990.000;4.620.000;11.610;37,3;42,0
12 02 2023 14:09:00;4.540.000;2.950.000;3.870.000;11.360;267;7.040.000;4.660.000;11.700;37,4;42,0
12 02 2023 14:10:00;4.560.000;2.980.000;3.850.000;11.390;274;7.070.000;4.650.000;11.720;37,4;42,1
12 02 2023 14:11:00;4.640.000;2.940.000;3.890.000;11.470;272;7.020.000;4.670.000;11.690;38,2;42,4
12 02 2023 14:12:00;4.490.000;2.920.000;3.880.000;11.290;270;6.990.000;4.730.000;11.720;37,8;42,6
12 02 2023 14:13:00;4.520.000;2.810.000;3.810.000;11.140;304;7.050.000;4.640.000;11.690;38,4;42,7
12 02 2023 14:14:00;4.620.000;2.880.000;3.880.000;11.380;263;6.950.000;4.630.000;11.580;38,3;42,9
12 02 2023 14:15:00;4.570.000;2.930.000;3.820.000;11.320;268;7.100.000;4.640.000;11.740;38,9;43,1
12 02 2023 14:16:00;4.600.000;2.910.000;3.790.000;11.300;262;7.080.000;4.610.000;11.690;38,6;43,2
12 02 2023 14:17:00;4.620.000;3.000.000;3.850.000;11.470;323;7.030.000;4.650.000;11.680;38,7;43,3
12 02 2023 14:18:00;4.600.000;2.880.000;3.860.000;11.340;297;6.920.000;4.640.000;11.560;38,8;43,2
12 02 2023 14:19:00;4.660.000;2.780.000;3.810.000;11.250;256;7.000.000;4.680.000;11.680;38,9;43,0
12 02 2023 14:20:00;4.560.000;2.880.000;3.840.000;11.280;247;7.060.000;4.600.000;11.660;38,6;42,5
12 02 2023 14:21:00;4.550.000;3.010.000;3.930.000;11.490;275;6.960.000;4.720.000;11.680;38,1;42,1
12 02 2023 14:22:00;4.530.000;2.970.000;3.830.000;11.330;275;7.000.000;4.590.000;11.590;37,4;41,7
12 02 2023 14:23:00;4.530.000;2.950.000;3.770.000;11.250;310;7.090.000;4.610.000;11.700;36,9;41,4
12 02 2023 14:24:00;4.580.000;2.880.000;3.820.000;11.280;312;7.070.000;4.640.000;11.710;36,4;41,3
12 02 2023 14:25:00;4.550.000;3.050.000;3.850.000;11.450;267;7.050.000;4.700.000;11.750;36,5;41,3
12 02 2023 14:26:00;4.580.000;2.990.000;3.840.000;11.410;246;7.090.000;4.660.000;11.750;36,7;41,4
12 02 2023 14:27:00;4.590.000;2.970.000;3.770.000;11.330;266;7.030.000;4.610.000;11.640;36,7;41,6
12 02 2023 14:28:00;4.610.000;2.920.000;3.940.000;11.470;314;7.000.000;4.630.000;11.630;36,9;41,8
12 02 2023 14:29:00;4.630.000;2.980.000;3.760.000;11.370;269;7.060.000;4.640.000;11.700;37,1;42,0
12 02 2023 14:30:00;4.580.000;2.900.000;3.760.000;11.240;260;7.040.000;4.720.000;11.760;38,2;42,1
12 02 2023 14:31:00;4.570.000;2.840.000;3.750.000;11.160;254;7.060.000;4.660.000;11.720;38,0;42,2
12 02 2023 14:32:00;4.580.000;2.990.000;3.920.000;11.490;286;7.070.000;4.610.000;11.680;37,4;42,3
12 02 2023 14:33:00;4.550.000;3.080.000;3.900.000;11.530;285;7.160.000;4.690.000;11.850;38,3;42,4
12 02 2023 14:34:00;4.570.000;2.990.000;3.900.000;11.460;349;7.050.000;4.750.000;11.800;38,1;42,4
12 02 2023 14:35:00;4.600.000;2.950.000;3.660.000;11.210;303;7.090.000;4.570.000;11.660;38,1;42,3
12 02 2023 14:36:00;4.590.000;2.990.000;3.860.000;11.440;219;7.120.000;4.710.000;11.830;38,0;42,3
12 02 2023 14:37:00;4.590.000;2.940.000;3.930.000;11.460;244;7.040.000;4.670.000;11.710;37,1;42,1
12 02 2023 14:38:00;4.610.000;2.910.000;3.910.000;11.430;211;6.970.000;4.580.000;11.550;38,2;42,2
12 02 2023 14:39:00;4.540.000;2.980.000;3.840.000;11.360;252;7.090.000;4.610.000;11.700;38,0;42,4
12 02 2023 14:40:00;4.610.000;2.910.000;3.900.000;11.420;253;6.980.000;4.640.000;11.620;38,3;42,7
12 02 2023 14:41:00;4.580.000;2.910.000;3.940.000;11.430;381;7.090.000;4.640.000;11.730;38,1;42,8
12 02 2023 14:42:00;4.610.000;2.890.000;3.830.000;11.330;343;7.010.000;4.560.000;11.570;38,6;43,1
12 02 2023 14:43:00;4.570.000;2.840.000;3.810.000;11.220;287;7.060.000;4.650.000;11.710;38,6;43,2
12 02 2023 14:44:00;4.590.000;2.880.000;3.870.000;11.340;275;7.040.000;4.590.000;11.630;39,2;43,2
12 02 2023 14:45:00;4.550.000;3.000.000;3.880.000;11.430;263;7.050.000;4.640.000;11.690;38,8;43,0
12 02 2023 14:46:00;4.540.000;2.940.000;3.870.000;11.350;252;7.080.000;4.620.000;11.700;38,3;42,8
12 02 2023 14:47:00;4.590.000;3.010.000;3.820.000;11.420;278;7.120.000;4.670.000;11.790;38,4;42,8
12 02 2023 14:48:00;4.580.000;2.850.000;3.800.000;11.230;309;7.100.000;4.620.000;11.720;38,2;42,9
12 02 2023 14:49:00;4.640.000;2.910.000;3.930.000;11.480;275;7.060.000;4.580.000;11.640;38,6;43,0
12 02 2023 14:50:00;4.550.000;3.010.000;3.850.000;11.410;282;7.090.000;4.650.000;11.740;38,7;43,2
12 02 2023 14:51:00;4.590.000;2.980.000;3.890.000;11.460;287;6.850.000;4.640.000;11.490;39,0;43,2
12 02 2023 14:52:00;4.600.000;3.020.000;3.870.000;11.490;278;6.970.000;4.640.000;11.610;38,7;42,9
12 02 2023 14:53:00;4.580.000;2.950.000;3.840.000;11.370;328;6.980.000;4.700.000;11.680;38,6;42,4
12 02 2023 14:54:00;4.580.000;2.930.000;3.890.000;11.400;316;7.020.000;4.660.000;11.680;37,8;42,0
12 02 2023 14:55:00;4.600.000;2.860.000;3.880.000;11.340;250;7.090.000;4.730.000;11.820;37,8;41,8
12 02 2023 14:56:00;4.590.000;2.840.000;3.870.000;11.300;212;7.020.000;4.640.000;11.660;36,9;41,6
12 02 2023 14:57:00;4.540.000;2.900.000;3.940.000;11.380;210;7.140.000;4.730.000;11.870;36,6;41,5
12 02 2023 14:58:00;4.560.000;2.860.000;3.900.000;11.320;282;6.990.000;4.620.000;11.610;36,7;41,4
12 02 2023 14:59:00;4.600.000;2.960.000;3.890.000;11.450;323;7.060.000;4.620.000;11.680;36,7;41,3
12 02 2023 15:00:00;4.570.000;2.960.000;3.800.000;11.330;288;7.090.000;4.650.000;11.740;36,5;41,3
12 02 2023 15:01:00;4.530.000;2.980.000;3.780.000;11.290;255;7.060.000;4.620.000;11.680;36,8;41,3
12 02 2023 15:02:00;4.580.000;2.960.000;3.840.000;11.380;339;7.040.000;4.550.000;11.590;36,5;41,3
12 02 2023 15:03:00;4.560.000;2.970.000;3.840.000;11.370;343;7.130.000;4.690.000;11.820;36,8;41,2
12 02 2023 15:04:00;4.580.000;2.990.000;3.820.000;11.390;302;7.110.000;4.690.000;11.800;36,4;41,2
12 02 2023 15:05:00;4.520.000;2.960.000;3.830.000;11.310;277;7.050.000;4.750.000;11.800;36,7;41,1
12 02 2023 15:06:00;4.650.000;2.990.000;3.830.000;11.470;281;7.070.000;4.780.000;11.850;36,3;41,1
12 02 2023 15:07:00;4.570.000;2.810.000;3.840.000;11.220;317;6.950.000;4.630.000;11.580;36,5;40,9
12 02 2023 15:08:00;4.600.000;2.940.000;3.900.000;11.440;263;7.120.000;4.700.000;11.820;36,8;40,8
12 02 2023 15:09:00;4.680.000;2.930.000;3.800.000;11.410;257;7.030.000;4.700.000;11.730;36,0;40,7
12 02 2023 15:10:00;4.630.000;2.950.000;3.830.000;11.410;311;7.070.000;4.570.000;11.640;36,4;40,6
12 02 2023 15:11:00;4.600.000;2.970.000;3.820.000;11.390;276;7.030.000;4.650.000;11.680;36,1;40,7
12 02 2023 15:12:00;4.510.000;2.870.000;3.840.000;11.220;249;6.950.000;4.680.000;11.630;35,9;40,7
12 02 2023 15:13:00;4.630.000;2.960.000;3.880.000;11.470;232;7.030.000;4.650.000;11.680;36,2;40,7
12 02 2023 15:14:00;4.620.000;3.010.000;3.760.000;11.390;247;7.050.000;4.610.000;11.660;36,3;40,6
12 02 2023 15:15:00;4.510.000;3.050.000;3.870.000;11.430;269;6.980.000;4.530.000;11.510;35,8;40,4
12 02 2023 15:16:00;4.600.000;2.990.000;3.840.000;11.430;243;6.920.000;4.670.000;11.590;36,0;40,3
12 02 2023 15:17:00;4.660.000;2.970.000;3.930.000;11.560;269;7.150.000;4.630.000;11.780;35,8;40,1
12 02 2023 15:18:00;4.560.000;2.880.000;3.840.000;11.280;265;7.090.000;4.590.000;11.680;35,9;40,0
12 02 2023 15:19:00;4.610.000;2.920.000;3.900.000;11.430;306;6.980.000;4.700.000;11.680;35,4;39,8
12 02 2023 15:20:00;4.550.000;2.950.000;3.850.000;11.350;273;7.000.000;4.660.000;11.660;35,3;39,7
12 02 2023 15:21:00;4.580.000;2.890.000;3.820.000;11.290;208;7.100.000;4.580.000;11.680;35,4;39,5
12 02 2023 15:22:00;4.580.000;2.820.000;3.890.000;11.290;202;6.990.000;4.690.000;11.680;35,3;39,4
12 02 2023 15:23:00;4.500.000;2.950.000;3.810.000;11.260;346;7.140.000;4.640.000;11.780;34,7;39,2
12 02 2023 15:24:00;4.650.000;2.940.000;3.920.000;11.510;312;7.090.000;4.610.000;11.700;35,1;39,2
12 02 2023 15:25:00;4.520.000;2.880.000;3.860.000;11.260;355;7.100.000;4.650.000;11.750;34,8;39,1
12 02 2023 15:26:00;4.660.000;3.000.000;3.770.000;11.430;261;7.090.000;4.740.000;11.830;34,9;39,0
12 02 2023 15:27:00;4.620.000;2.940.000;3.830.000;11.390;224;7.060.000;4.680.000;11.740;34,1;39,0
12 02 2023 15:28:00;4.530.000;2.920.000;3.920.000;11.370;215;7.100.000;4.510.000;11.610;34,4;38,9
12 02 2023 15:29:00;4.500.000;3.030.000;3.830.000;11.360;230;6.940.000;4.630.000;11.570;34,5;38,8
12 02 2023 15:30:00;4.540.000;2.990.000;3.890.000;11.420;280;7.060.000;4.610.000;11.670;34,3;38,7
12 02 2023 15:31:00;4.620.000;2.930.000;3.900.000;11.450;266;6.970.000;4.590.000;11.560;34,4;38,6
12 02 2023 15:32:00;4.600.000;2.830.000;3.790.000;11.220;319;7.100.000;4.670.000;11.770;34,2;38,5
12 02 2023 15:33:00;4.590.000;2.920.000;3.850.000;11.360;326;7.150.000;4.670.000;11.820;34,1;38,4
12 02 2023 15:34:00;4.620.000;2.830.000;3.810.000;11.260;265;7.040.000;4.630.000;11.670;33,8;38,4
12 02 2023 15:35:00;4.330.000;2.950.000;3.640.000;10.920;213;7.110.000;4.630.000;11.740;33,8;38,2
12 02 2023 15:36:00;4.390.000;2.960.000;3.590.000;10.940;#¡VALOR!;7.030.000;4.690.000;11.720;33,6;38,1
12 02 2023 15:37:00;4.340.000;2.940.000;3.720.000;11.000;#¡VALOR!;6.820.000;4.710.000;11.530;33,7;38,1
12 02 2023 15:38:00;4.400.000;2.960.000;3.680.000;11.040;#¡VALOR!;6.610.000;4.580.000;11.190;33,8;37,9
12 02 2023 15:39:00;4.390.000;2.960.000;3.680.000;11.030;#¡VALOR!;6.560.000;4.460.000;11.020;34,0;37,9
12 02 2023 15:40:00;4.340.000;2.940.000;3.680.000;10.960;362;6.820.000;4.230.000;11.050;33,4;37,8
12 02 2023 15:41:00;4.330.000;2.870.000;3.680.000;10.880;463;6.900.000;4.210.000;11.110;33,8;37,6
12 02 2023 15:42:00;4.330.000;2.970.000;3.550.000;10.850;439;7.000.000;4.430.000;11.430;33,2;37,6
12 02 2023 15:43:00;4.370.000;2.910.000;3.670.000;10.950;367;7.170.000;4.440.000;11.610;33,2;37,6
12 02 2023 15:44:00;4.390.000;3.060.000;3.680.000;11.130;287;6.960.000;4.590.000;11.550;33,1;37,5
12 02 2023 15:45:00;4.340.000;2.870.000;3.710.000;10.920;144;6.940.000;4.610.000;11.550;32,9;37,5
12 02 2023 15:46:00;4.330.000;3.000.000;3.680.000;11.010;138;6.810.000;4.680.000;11.490;33,2;37,4
12 02 2023 15:47:00;4.410.000;2.900.000;3.670.000;10.980;142;6.780.000;4.450.000;11.230;33,2;37,4
12 02 2023 15:48:00;4.300.000;2.870.000;3.690.000;10.860;183;6.680.000;4.450.000;11.130;33,3;37,3
12 02 2023 15:49:00;4.310.000;3.030.000;3.680.000;11.020;311;6.780.000;4.390.000;11.170;33,1;37,2
12 02 2023 15:50:00;4.350.000;2.970.000;3.710.000;11.030;383;6.810.000;4.420.000;11.230;32,4;37,2
12 02 2023 15:51:00;4.350.000;3.010.000;3.610.000;10.970;351;6.900.000;4.350.000;11.250;32,6;37,1
12 02 2023 15:52:00;4.410.000;3.000.000;3.690.000;11.100;285;6.940.000;4.420.000;11.360;32,7;37,0
12 02 2023 15:53:00;4.380.000;2.740.000;3.630.000;10.750;239;7.000.000;4.600.000;11.600;32,6;36,9
12 02 2023 15:54:00;4.380.000;2.980.000;3.720.000;11.080;144;6.820.000;4.590.000;11.410;32,0;36,8
12 02 2023 15:55:00;4.420.000;2.860.000;3.620.000;10.900;140;6.880.000;4.610.000;11.490;32,6;36,7
12 02 2023 15:56:00;4.380.000;3.030.000;3.690.000;11.100;177;6.870.000;4.530.000;11.400;32,3;36,7
12 02 2023 15:57:00;4.330.000;3.030.000;3.720.000;11.080;270;6.790.000;4.410.000;11.200;32,3;36,6
12 02 2023 15:58:00;4.320.000;2.970.000;3.670.000;10.960;338;6.800.000;4.410.000;11.210;32,2;36,5
12 02 2023 15:59:00;4.390.000;2.920.000;3.760.000;11.070;347;6.900.000;4.400.000;11.300;32,2;36,4
12 02 2023 16:00:00;4.380.000;2.880.000;3.550.000;10.810;332;6.830.000;4.330.000;11.160;32,2;36,4
12 02 2023 16:01:00;4.360.000;2.900.000;3.730.000;10.990;323;6.930.000;4.440.000;11.370;31,9;36,4
12 02 2023 16:02:00;4.330.000;3.040.000;3.650.000;11.020;271;6.960.000;4.550.000;11.510;31,9;36,3
12 02 2023 16:03:00;4.410.000;3.000.000;3.760.000;11.170;168;6.930.000;4.560.000;11.490;32,3;36,3
12 02 2023 16:04:00;4.380.000;3.050.000;3.660.000;11.090;164;6.850.000;4.500.000;11.350;31,4;36,2
12 02 2023 16:05:00;4.360.000;2.970.000;3.670.000;11.000;188;6.850.000;4.530.000;11.380;31,8;36,1
12 02 2023 16:06:00;4.370.000;2.910.000;3.540.000;10.820;262;6.870.000;4.500.000;11.370;31,6;36,1
12 02 2023 16:07:00;4.330.000;3.000.000;3.700.000;11.030;218;6.910.000;4.520.000;11.430;31,8;36,0
12 02 2023 16:08:00;4.340.000;3.020.000;3.710.000;11.070;278;6.920.000;4.380.000;11.300;31,7;35,9
12 02 2023 16:09:00;4.350.000;2.980.000;3.760.000;11.090;247;6.930.000;4.440.000;11.370;31,4;35,8
12 02 2023 16:10:00;4.340.000;3.010.000;3.680.000;11.030;180;6.880.000;4.530.000;11.410;31,1;35,8
12 02 2023 16:11:00;4.380.000;3.040.000;3.610.000;11.030;182;6.810.000;4.530.000;11.340;31,2;35,8
12 02 2023 16:12:00;4.410.000;2.970.000;3.680.000;11.060;190;6.840.000;4.530.000;11.370;31,1;35,7
12 02 2023 16:13:00;4.590.000;2.960.000;3.820.000;11.370;230;6.910.000;4.490.000;11.400;30,9;35,6
12 02 2023 16:14:00;4.570.000;2.920.000;3.790.000;11.280;415;6.890.000;4.410.000;11.300;31,6;35,6
12 02 2023 16:15:00;4.520.000;2.980.000;3.910.000;11.410;470;7.090.000;4.480.000;11.570;31,7;36,0
12 02 2023 16:16:00;4.600.000;2.900.000;3.770.000;11.270;485;7.100.000;4.540.000;11.640;32,0;36,5
12 02 2023 16:17:00;4.540.000;2.910.000;3.790.000;11.240;373;7.100.000;4.600.000;11.700;32,1;36,8
